Filename,Original,RuleName,CitationType,MatchType,Vids,Nodes,Content,Error,Notes,ExtractedSeries
s3://vlex-tna-files/ewhc/costs/2012/2012-ewhc-90219-costs.xml,"v Withers LLP</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793684317'>[2007] EWHC 2733 (Ch)</citation>, <span style=""font-style:italic"">Reynolds",Neutral HC,Caselaw,SyntalexMatch,793684317,,[2007] EWHC 2733 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2012/2012-ewhc-90219-costs.xml,"(a firm) </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793526689'>[2008] EWHC 497 (QB)</citation>, <span style=""font-style:italic"">Leigh",Neutral HC,Caselaw,SyntalexMatch,793526689,,[2008] EWHC 497 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2012/2012-ewhc-90219-costs.xml,Mahtani v Billington</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793750597'>[2003] EWHC 3127 (QB)</citation>. In that,Neutral HC,Caselaw,SyntalexMatch,793750597,,[2003] EWHC 3127 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2012/2012-ewhc-90219-costs.xml,"Fireman &amp; Taylor</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793712585'>[2011] EWHC 177 (QB)</citation>and <span style=""font-style:italic"">Eversheds",Neutral HC,Caselaw,SyntalexMatch,793712585,,[2011] EWHC 177 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2012/2012-ewhc-90223-costs.xml,Naza Motor Trading</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793994869'>(2007) EWHC 665 (Ch)</citation>is cited in,Neutral HC,Caselaw,SyntalexMatch,793994869,,(2007) EWHC 665 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2012/2012-ewhc-90223-costs.xml,"</span><span style=""font-style:italic"">Ablyazov </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792557341'>(2011) EWHC 587 (Comm)</citation>in which Christopher",Neutral HC,Caselaw,SyntalexMatch,792557341,,(2011) EWHC 587 (Comm),,Resolved match,EWHC  Comm
s3://vlex-tna-files/ewhc/costs/2012/2012-ewhc-90223-costs.xml,"style=""font-style:italic"">A v B</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793481581'>(2006) EWHC 2006 (Comm)</citation>. For their",Neutral HC,Caselaw,SyntalexMatch,793481581,,(2006) EWHC 2006 (Comm),,Resolved match,EWHC  Comm
s3://vlex-tna-files/ewhc/costs/2008/2008-ewhc-90111-costs.xml,Yorkshire Police </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793988933'>[2008] EWHC 1658 (QB)</citation>. This is,Neutral HC,Caselaw,SyntalexMatch,793988933,,[2008] EWHC 1658 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2008/2008-ewhc-90111-costs.xml,Smith Docks </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793754205'>[2004] EWHC 1116 (QB)</citation>and the <span,Neutral HC,Caselaw,SyntalexMatch,793754205,,[2004] EWHC 1116 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2008/2008-ewhc-90105-costs.xml,"style=""font-weight:bold;text-decoration:underline""> CITY COUNCIL<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792821669'>[2007] EWHC 1415 (QB)</citation></span> </p> </content>",Neutral HC,Caselaw,SyntalexMatch,792821669,,[2007] EWHC 1415 (QB),,Resolved match,EWHC  QB
