id,family,description,uri_template,canonical_form,canonical_example,match_example,citation_type,is_canonical,is_neutral,jurisdiction,pattern
acd,ACD,Administrative Court Digest,,[dddd] ACD d+,[2022] ACD 123,[2022] ACD 123,PubYearAbbrNum,TRUE,FALSE,EW,"{""id"": ""acd"", ""description"": ""Administrative Court Digest"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""},{""ORTH"": ""ACD""},{""LIKE_NUM"": true}]}"
aller,ALL-ER,The All England Law Reports,,[dddd] d1 All ER d2,[2022] 1 All ER 123,[2022] 1 All ER 123,PubYearNumAbbrNum,TRUE,FALSE,EW,"{""id"": ""aller"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""All""},{""ORTH"": ""ER""},{""LIKE_NUM"": true}]}"
aller_a,ALL-ER,The All England Law Reports,,[dddd] d1 All ER d2,[2022] 1 All ER 123,[2022] 1 All E.R. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""aller_a"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""All""},{""ORTH"": ""E.R.""},{""LIKE_NUM"": true}]}"
aller_b,ALL-ER,The All England Law Reports,,[dddd] d1 All ER d2,[2022] 1 All ER 123,(2022) 1 All E.R. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""aller_b"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""LIKE_NUM"": true}, {""ORTH"": ""All""},{""ORTH"": ""E.R.""},{""LIKE_NUM"": true}]}"
aller_c,ALL-ER,The All England Law Reports,,[dddd] d1 All ER d2,[2022] 1 All ER 123,[2022] 1 ALL E.R. 123,PubYearNumAbbrNum,FALSE,FALSE,EW,"{""id"": ""aller_c"", ""description"": ""The All England Law Reports"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""LIKE_NUM"": true}, {""ORTH"": ""ALL""},{""ORTH"": ""E.R.""},{""LIKE_NUM"": true}]}"
ukeat,EAT,United Kingdom Employment Appeal Tribunal,https://caselaw.nationalarchives.gov.uk/eat/year/d1,[dddd] EAT d+,[2022] EAT 123,[2022] EAT 123,NCitYearAbbrNum,TRUE,TRUE,UK,"{""id"": ""ukeat"", ""description"": ""United Kingdom Employment Appeal Tribunal"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EAT""} , {""LIKE_NUM"": true}]}"
ukeat_a,EAT,United Kingdom Employment Appeal Tribunal,https://caselaw.nationalarchives.gov.uk/eat/year/d1,[dddd] EAT d+,[2022] EAT 123,(2022) EAT 123,NCitYearAbbrNum,FALSE,TRUE,UK,"{""id"": ""ukeat_a"", ""description"": ""United Kingdom Employment Appeal Tribunal"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""(""}, {""SHAPE"": ""dddd""}, {""ORTH"": "")""}, {""ORTH"": ""EAT""} , {""LIKE_NUM"": true}]}"
ewca_civ,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA Civ 123,NCitYearAbbrNum,TRUE,TRUE,EW,"{""id"": ""ewca_civ"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""Civ""}, {""LIKE_NUM"": true}]}"
ewca_civ_a,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA CIV 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_a"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""CIV""} , {""LIKE_NUM"": true}]}"
ewca_civ_b,EWCA-Civil,Court of Appeal (Civil Division),https://caselaw.nationalarchives.gov.uk/ewca/civ/year/d1,[dddd] EWCA Civ d+,[2022] EWCA Civ 123,[2022] EWCA civ 123,NCitYearAbbrNum,FALSE,TRUE,EW,"{""id"": ""ewca_civ_b"", ""description"": ""Court of Appeal (Civil Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCA""}, {""ORTH"": ""civ""} , {""LIKE_NUM"": true}]}"
